Image_ID,Computer_Time,ROS_Time_Stamp,Chunk_Frame_ID,Chunk_Time,Latitude,Longitude,Direction,Camera_Long,Camera_Lat,Assigned_Row,FOV_Center_Long,FOV_Center_Lat,FOV_Left_Long,FOV_Left_Lat,FOV_Right_Long,FOV_Right_Lat,Covered_Vines
29,2024-09-20-14-40-22-175,1726857622,140,508000000000.0,42.89456602,-77.01116628,F,-77.01115696106432,42.894565995720384,9,-77.01115329795486,42.89456595613561,-77.011153343748,42.89456805322048,-77.01115325038394,42.894563777638204,
30,2024-09-20-14-40-22-697,1726857623,141,509000000000.0,42.8945619,-77.0111663,F,-77.01115701126449,42.89456135027995,9,-77.01115318695179,42.89456087277963,-77.01115323262937,42.89456296457198,-77.011153132702,42.89455838842582,9-1
31,2024-09-20-14-40-23-220,1726857623,142,509000000000.0,42.89455927,-77.01116659,F,-77.01115727100641,42.89455927,9,-77.01115315161755,42.89455925465787,-77.01115320331114,42.89456162195175,-77.01115309835934,42.89455681571299,9-1
32,2024-09-20-14-40-23-742,1726857624,143,510000000000.0,42.89455492,-77.01116659,F,-77.01115728877691,42.89455449858935,9,-77.01115303907879,42.89455410097645,-77.011153090327,42.894556447874,-77.01115298041876,42.89455141465575,"9-1,9-2"
33,2024-09-20-14-40-24-265,1726857624,144,510000000000.0,42.89455184,-77.01116685,F,-77.01115753143112,42.894551905094204,9,-77.01115299238883,42.894551962821765,-77.01115304987988,42.89455459560937,-77.01115293428322,42.89454930189108,"9-1,9-2"
34,2024-09-20-14-40-24-787,1726857625,145,511000000000.0,42.89454723,-77.01116679,F,-77.01115747129367,42.89454717656539,9,-77.01115288633153,42.89454710595675,-77.01115294351109,42.894549724479155,-77.01115282661257,42.8945443711435,9-2
35,2024-09-20-14-40-25-309,1726857625,146,511000000000.0,42.89454255,-77.01116684,F,-77.01115753648601,42.89454294331,9,-77.01115280351875,42.89454331356812,-77.01115286611221,42.89454618001857,-77.0111527449047,42.89454062935352,9-2
36,2024-09-20-14-40-25-831,1726857626,147,512000000000.0,42.89453963,-77.01116661,F,-77.01115731761995,42.894540145570126,9,-77.01115274447513,42.894540609681435,-77.01115280603572,42.894543428831994,-77.01115268836816,42.894538040277475,9-2
37,2024-09-20-14-40-26-354,1726857626,148,512000000000.0,42.89453489,-77.01116612,F,-77.0111568053188,42.894535097584296,9,-77.0111526277261,42.89453526319176,-77.01115268152219,42.89453772676893,-77.0111525750348,42.89453285020767,"9-2,9-3"
38,2024-09-20-14-40-26-876,1726857627,149,513000000000.0,42.894532,-77.011166,F,-77.01115669962016,42.894532431243775,9,-77.01115257339866,42.894532775280666,-77.01115262817645,42.89453528381466,-77.01115252240993,42.89453044026576,9-3
39,2024-09-20-14-40-27-398,1726857627,150,513000000000.0,42.89452737,-77.0111656,F,-77.0111562811947,42.894527412839714,9,-77.01115245650325,42.89452742208769,-77.01115250466198,42.89452962750297,-77.01115240724135,42.89452516615208,9-3
40,2024-09-20-14-40-27-920,1726857628,151,514000000000.0,42.8945227,-77.01116556,F,-77.01115627112523,42.89452324840204,9,-77.0111523745213,42.89452366774624,-77.01115242723114,42.89452608157921,-77.01115232682272,42.894521483403125,9-3
41,2024-09-20-14-40-28-443,1726857628,152,514000000000.0,42.8945197,-77.01116523,F,-77.01115591829506,42.894519969855665,9,-77.01115229801572,42.89452016419353,-77.01115234507047,42.89452231905331,-77.0111522526748,42.89451808781891,"9-3,9-4"
42,2024-09-20-14-40-28-965,1726857629,153,515000000000.0,42.89451507,-77.01116498,F,-77.01115566318988,42.89451521755478,9,-77.01115219097416,42.894515262254586,-77.0111522349569,42.894517276432076,-77.01115214652934,42.89451322691594,9-4
43,2024-09-20-14-40-29-487,1726857629,154,515000000000.0,42.89451202,-77.01116489,F,-77.01115563207036,42.8945128002352,9,-77.01115214847214,42.894513315886115,-77.01115219723779,42.89451554909598,-77.01115210637172,42.894511387909134,9-4
44,2024-09-20-14-40-30-009,1726857630,155,516000000000.0,42.89450718,-77.01116413,F,-77.01115481161402,42.89450725745399,9,-77.01115201693813,42.894507292321705,-77.01115205233023,42.894508913093425,-77.01115198115762,42.8945056537633,9-4
45,2024-09-20-14-40-30-532,1726857631,156,516000000000.0,42.89450266,-77.01116406,F,-77.01115475963604,42.894503091376535,9,-77.01115193052205,42.89450333492078,-77.01115196815635,42.894505058373575,-77.01115189560117,42.89450173572912,"9-4,9-5"
46,2024-09-20-14-40-31-053,1726857631,157,517000000000.0,42.89449942,-77.01116378,F,-77.01115447163403,42.89449974582207,9,-77.01115185585027,42.894499915347104,-77.01115189011156,42.89450148433349,-77.0111518232619,42.894498422971544,9-5
47,2024-09-20-14-40-31-577,1726857632,158,517000000000.0,42.89449482,-77.01116348,F,-77.01115418225208,42.894495280637535,9,-77.01115175915015,42.89449548699141,-77.0111517913611,42.89449696208276,-77.01115172922945,42.89449411678126,9-5
48,2024-09-20-14-40-32-097,1726857632,159,518000000000.0,42.89449027,-77.01116306,F,-77.01115374313765,42.89449012435437,9,-77.01115164048821,42.89449005289971,-77.01115166646929,42.894491242696105,-77.01115161275735,42.894488782972225,9-5
49,2024-09-20-14-40-32-621,1726857633,160,518000000000.0,42.89448718,-77.01116315,F,-77.01115386214256,42.894486622474616,9,-77.01115155994317,42.894486364362,-77.01115158754119,42.89448762820583,-77.01115152765549,42.89448488575594,"9-5,9-6"
