Row,ID,Longitude,Latitude
9,1,-77.01115315,42.89455916
9,2,-77.01115282,42.89454384
9,3,-77.01115245,42.89452714
9,4,-77.01115207,42.89450972
9,5,-77.01115176,42.89449545
9,6,-77.01115134,42.89447622
9,7,-77.01115099,42.89446006
9,8,-77.01115098,42.89446001
9,11,-77.01114955,42.89439434
9,12,-77.0111492,42.89437841
9,13,-77.01114887,42.89436331
9,14,-77.01114851,42.89434665
9,15,-77.01114813,42.8943295
9,18,-77.01114704,42.89427936
9,19,-77.01114669,42.89426337
9,20,-77.01114633,42.89424672
9,24,-77.0111449,42.89418129
9,25,-77.01114456,42.89416588
9,26,-77.0111442,42.89414929
9,27,-77.01114385,42.89413332
9,28,-77.01114348,42.89411656
9,31,-77.01114236,42.89406527
9,34,-77.01114136,42.8940193
9,35,-77.01113873,42.89389882
9,36,-77.01113831,42.89387975
9,37,-77.01113795,42.89386316
9,38,-77.01113764,42.89384874
9,40,-77.01113688,42.89381405
9,42,-77.01113617,42.89378171
9,44,-77.0111355,42.89375094
9,45,-77.0111351,42.89373237
9,46,-77.01113476,42.89371701
9,47,-77.01113438,42.8936998
9,48,-77.01113402,42.89368321
9,49,-77.01113369,42.89366795
9,51,-77.01113295,42.89363435
9,52,-77.01113259,42.89361743
9,53,-77.01113226,42.89360251
9,54,-77.0111319,42.89358588
9,55,-77.01113146,42.89356581
9,56,-77.01113116,42.89355212
9,57,-77.01113078,42.89353478
9,58,-77.01113043,42.89351852
9,59,-77.01113008,42.89350288
9,60,-77.01112973,42.89348673
9,61,-77.01112936,42.89346971
9,62,-77.01112902,42.89345421
9,65,-77.01112788,42.89340211
9,66,-77.01112759,42.8933886
9,67,-77.01112723,42.89337229
9,69,-77.01112652,42.89333957
9,70,-77.01112612,42.89332153
9,71,-77.01112579,42.89330632
9,72,-77.0111254,42.8932882
9,73,-77.01112503,42.89327147
9,74,-77.01112466,42.89325464
9,76,-77.01112396,42.89322255
9,82,-77.01112183,42.89312496
10,2,-77.01111642,42.89455122
10,3,-77.01111588,42.89452587
10,4,-77.01111557,42.89451129
10,5,-77.01111524,42.89449556
10,6,-77.01111486,42.89447772
10,10,-77.01111354,42.89441521
10,11,-77.0111131,42.8943948
10,12,-77.0111128,42.89438018
10,14,-77.01111211,42.8943476
10,15,-77.01111177,42.89433176
10,19,-77.01111036,42.89426497
10,20,-77.01110999,42.89424773
10,21,-77.01110968,42.89423308
10,23,-77.011109,42.8942007
10,24,-77.01110864,42.89418375
10,25,-77.01110827,42.8941663
10,27,-77.01110762,42.89413558
10,28,-77.01110727,42.89411914
10,29,-77.01110691,42.89410236
10,30,-77.01110657,42.89408603
10,31,-77.01110623,42.89407004
10,32,-77.01110586,42.89405236
10,33,-77.01110552,42.89403663
10,34,-77.01110518,42.89402053
10,35,-77.01110263,42.89390006
10,36,-77.01110227,42.89388282
10,37,-77.01110191,42.89386587
10,38,-77.01110153,42.8938482
10,40,-77.01110086,42.89381641
10,41,-77.01110053,42.89380103
10,42,-77.01110016,42.89378317
10,43,-77.01109979,42.89376566
10,44,-77.01109945,42.89374993
10,45,-77.01109913,42.89373473
10,46,-77.01109875,42.89371695
10,47,-77.01109843,42.89370145
10,48,-77.01109811,42.89368634
10,50,-77.01109742,42.89365369
10,51,-77.01109706,42.89363697
10,52,-77.01109671,42.89362043
10,54,-77.01109598,42.89358608
10,55,-77.01109571,42.89357293
10,57,-77.01109498,42.89353844
10,60,-77.01109393,42.89348901
10,62,-77.0110932,42.89345436
10,65,-77.01109221,42.89340779
10,66,-77.01109186,42.89339134
10,67,-77.0110915,42.89337446
10,68,-77.01109117,42.89335853
10,69,-77.01109082,42.89334234
10,70,-77.01109047,42.89332567
10,72,-77.0110898,42.89329389
10,73,-77.01108944,42.89327708
10,74,-77.01108912,42.89326184
10,75,-77.01108873,42.89324323
10,76,-77.01108841,42.89322849
10,77,-77.01108804,42.89321083
10,78,-77.01108767,42.89319335
10,79,-77.01108736,42.89317846
10,80,-77.01108699,42.89316117
10,81,-77.01108668,42.89314647
10,82,-77.01108633,42.89313024
11,1,-77.01107816,42.89456108
11,2,-77.01107781,42.89454469
11,3,-77.01107748,42.89452939
11,4,-77.01107711,42.89451193
11,5,-77.01107674,42.89449475
11,7,-77.01107605,42.89446222
11,8,-77.01107571,42.89444621
11,9,-77.0110754,42.89443197
