Row,ID,Longitude,Latitude,Coverage_Start_Lon,Coverage_Start_Lat,Coverage_End_Lon,Coverage_End_Lat
9,1,-77.01115315,42.89455916,-77.01115324761831,42.894563650986505,-77.01115298228308,42.89455150003184
9,2,-77.01115282,42.89454384,-77.01115298228308,42.89455150003184,-77.01115263267943,42.894535490027195
9,3,-77.01115245,42.89452714,-77.01115263267943,42.894535490027195,-77.01115226014683,42.89451842999828
9,4,-77.01115207,42.89450972,-77.01115226014683,42.89451842999828,-77.01115191414657,42.89450258501
9,5,-77.01115176,42.89449545,-77.01115191414657,42.89450258501,-77.01115154838413,42.89448583501894
9,6,-77.01115134,42.89447622,-77.01115154838413,42.89448583501894,-77.0111511619863,42.89446814003532
9,7,-77.01115099,42.89446006,-77.0111511619863,42.89446814003532,-77.0111509850001,42.894460035
9,8,-77.01115098,42.89446001,-77.0111509850001,42.894460035,-77.01115078831776,42.89445102798534
9,11,-77.01114955,42.89439434,-77.01114974658152,42.89440332195724,-77.01114937651765,42.89438637498221
9,12,-77.0111492,42.89437841,-77.01114937651765,42.89438637498221,-77.01114903772289,42.89437085996809
9,13,-77.01114887,42.89436331,-77.01114903772289,42.89437085996809,-77.01114869095854,42.89435497998877
9,14,-77.01114851,42.89434665,-77.01114869095854,42.89435497998877,-77.01114832181102,42.894338074978776
9,15,-77.01114813,42.8943295,-77.01114832181102,42.894338074978776,-77.0111479384264,42.89432051798406
9,18,-77.01114704,42.89427936,-77.0111472358124,42.89428834196625,-77.0111468650936,42.8942713649989
9,19,-77.01114669,42.89426337,-77.0111468650936,42.8942713649989,-77.01114650872104,42.89425504501499
9,20,-77.01114633,42.89424672,-77.01114650872104,42.89425504501499,-77.01114613079673,42.894237738073485
9,24,-77.0111449,42.89418129,-77.01114509429993,42.89419027198398,-77.01114472991338,42.89417358500101
9,25,-77.01114456,42.89416588,-77.01114472991338,42.89417358500101,-77.01114438052804,42.89415758499381
9,26,-77.0111442,42.89414929,-77.01114438052804,42.89415758499381,-77.01114402502874,42.894141304999664
9,27,-77.01114385,42.89413332,-77.01114402502874,42.894141304999664,-77.01114366767253,42.89412493996868
9,28,-77.01114348,42.89411656,-77.01114366767253,42.89412493996868,-77.01114328854622,42.89410757798266
9,31,-77.01114236,42.89406527,-77.01114256081891,42.89407425190758,-77.01114216854832,42.894056287982636
9,34,-77.01114136,42.8940193,-77.01114155699256,42.89402828195242,-77.01114112549492,42.89400852163498
9,35,-77.01113873,42.89389882,-77.01113896534936,42.893909598355116,-77.01113852177481,42.8938892849792
9,36,-77.01113831,42.89387975,-77.01113852177481,42.8938892849792,-77.01113813242853,42.89387145497154
9,37,-77.01113795,42.89386316,-77.01113813242853,42.89387145497154,-77.01113779385335,42.89385595001344
9,38,-77.01113764,42.89384874,-77.01113779385335,42.89385595001344,-77.01113744027698,42.89383975807958
9,40,-77.01113688,42.89381405,-77.01113707503616,42.89382303197536,-77.01113668276558,42.89380506805041
9,42,-77.01113617,42.89378171,-77.01113636884037,42.89379069193077,-77.01113597656979,42.89377272800582
9,44,-77.0111355,42.89375094,-77.01113569692947,42.89375992195316,-77.01113529804229,42.89374165502294
9,45,-77.0111351,42.89373237,-77.01113529804229,42.89374165502294,-77.01113492758492,42.89372469002831
9,46,-77.01113476,42.89371701,-77.01113492758492,42.89372469002831,-77.01113457197518,42.893708404976856
9,47,-77.01113438,42.8936998,-77.01113457197518,42.893708404976856,-77.01113420293683,42.89369150496558
9,48,-77.01113402,42.89368321,-77.01113420293683,42.89369150496558,-77.01113385519008,42.89367557999777
9,49,-77.01113369,42.89366795,-77.01113385519008,42.89367557999777,-77.01113349244214,42.893658968054204
9,51,-77.01113295,42.89363435,-77.01113315100221,42.89364333190543,-77.01113277013071,42.89362588999847
9,52,-77.01113259,42.89361743,-77.01113277013071,42.89362588999847,-77.01113242249313,42.89360997002938
9,53,-77.01113226,42.89360251,-77.01113242249313,42.89360997002938,-77.01113207802103,42.8935941950232
9,54,-77.0111319,42.89358588,-77.01113207802103,42.8935941950232,-77.01113167732007,42.89357584503141
9,55,-77.01113146,42.89356581,-77.01113167732007,42.89357584503141,-77.01113130871833,42.893558965015025
9,56,-77.01113116,42.89355212,-77.01113130871833,42.893558965015025,-77.01113096992357,42.8935434500009
9,57,-77.01113078,42.89353478,-77.01113096992357,42.8935434500009,-77.0111306030696,42.89352665002263
9,58,-77.01113043,42.89351852,-77.0111306030696,42.89352665002263,-77.01113025477581,42.89351070000263
9,59,-77.01113008,42.89350288,-77.01113025477581,42.89351070000263,-77.0111299076827,42.89349480496856
9,60,-77.01112973,42.89348673,-77.0111299076827,42.89349480496856,-77.01112954552367,42.89347821999386
9,61,-77.01112936,42.89346971,-77.01112954552367,42.89347821999386,-77.01112919046099,42.893461959994596
9,62,-77.01112902,42.89345421,-77.01112919046099,42.893461959994596,-77.01112882509204,42.89344522802315
9,65,-77.01112788,42.89340211,-77.01112807967651,42.89341109192097,-77.0111277360358,42.89339535498786
9,66,-77.01112759,42.8933886,-77.0111277360358,42.89339535498786,-77.01112741045263,42.8933804449947
9,67,-77.01112723,42.89337229,-77.01112741045263,42.8933804449947,-77.01112703623959,42.8933633080097
9,69,-77.01112652,42.89333957,-77.0111267140186,42.89334855198728,-77.01112632091663,42.89333054998926
9,70,-77.01112612,42.89332153,-77.01112632091663,42.89333054998926,-77.01112595788308,42.893313924966215
9,71,-77.01112579,42.89330632,-77.01112595788308,42.893313924966215,-77.01112559397757,42.893297260011984
