Row,ID,Longitude,Latitude
9,S,-77.01115364,42.89458162
9,E,-77.01112139,42.89310474
10,S,-77.01111706,42.89458164
10,E,-77.01108579,42.89310452
11,S,-77.01107858,42.89458073
11,E,-77.011047,42.89310143
12,S,-77.01103857,42.89458269
12,E,-77.01101025,42.89310229
13,S,-77.0110036,42.89458089
13,E,-77.01097424,42.89310142
14,S,-77.01096719,42.89458505
14,E,-77.01093585,42.89310103
15,S,-77.01092725,42.89458538
15,E,-77.01089969,42.89310094
